Semester	Kategori	No	Kegiatan/Bukti	SKS BKD	SKS Lebih	Masa Penugasan	Kolom_8	Kolom_9	Kolom_10	Kolom_11	Kolom_12
Ganjil 2022/2023	Pengabdian	3	PELATIHAN PENGENALAN CODING BAGI GURU SD MENGGUNAKAN SCRATCH Jr	SK :- Tgl.SK:-	2.5	Artikel Jurnal PKM; Jurnal Nasional; Editorial Team; ST Pengabdian Masyarakat Amaludin; Surat Tugas Pengabdian Alfian Nurlifa; Daftar Isi; surat tugas pengabdian Asfan; surat tugas	Selesai	100%	1.335	Bukti Pendukung sesuai PO BKD 2021	Sesuai PO BKD
Ganjil 2022/2023	Pengabdian	4	PELATIHAN PEMANFAATAN LIMBAH KOTORAN SAPI SERTA PEMANFAATAN LAHAN TERBATAS WARGA UNTUK PENANAMAN SAYURAN DALAM RANGKA MENINGKATKAN GIZI WARGA MASYARAKAT DI ERA PANDEMI COVID 19	SK :- Tgl.SK:-	2.5	Surat Tugas Pengabdian Alfian Nurlifa; Surat Tugas; Prosiding SNasPPM; Artikel	Beban lebih	100%	2	Bukti Pendukung sesuai PO BKD 2021	Sesuai PO BKD
Ganjil 2022/2023	Penunjang	1	Panitia Wisuda Ke-20 Universitas PGRI Ronggolawe Tahun 2022 di Universitas PGRI Ronggolawe	2142/071073/PGRI/AK/XI/2022- SK : SK Tgl.SK:04 November 2022	0.5	ST Dekan Penunjang Amaludin; SK Panitia Wisuda 2022	Selesai	100%	0.5	Bukti Pendukung sesuai PO BKD 2021	Sesuai PO BKD
Ganjil 2022/2023	Penunjang	2	Program Pengenalan Kehidupan Kampus Universitas PGRI Ronggolawe 2022 di Universitas PGRI Ronggolawe	1774/071073/PGRI/AK/IX/2022- SK : SK Tgl.SK:09 September 2022	0.5	SK Panitia PKKMB 2022-2023; ST Dekan Penunjang Amaludin	Selesai	100%	0.375	Bukti pendukung sesuai PO BKD 2021, Namun kegiatan adalah tingkat Fakultas/Prodi	Sesuai PO BKD
Ganjil 2022/2023	Penunjang	3	Panitia Ujian Akhir Semester Gasal di Universitas PGRI Ronggolawe	0062/071073/PGRI/AK/I/2023- SK : SK Tgl.SK:07 Januari 2023	0.5	ST Dekan Amaludin; Surat Tugas Penunjang Fitroh; Surat Tugas Asfan; Surat Tugas Penunjang Alfian Nurlifa; SK UAS Gasal 2023	Berlanjut	100%	0.375	Bukti pendukung sesuai PO BKD 2021, Namun kegiatan adalah tingkat Fakultas/Prodi	Sesuai PO BKD
Ganjil 2022/2023	Penunjang	4	Senat Perguruan Tinggi di Universitas PGRI Ronggolawe	727/071073/PGRI/KP/VI/2020- SK : SK Tgl.SK:02 Desember 2019	0.75	SK Senat	Berlanjut	100%	0.75	Bukti Pendukung sesuai PO BKD 2021	Sesuai PO BKD
Ganjil 2022/2023	Penunjang	1	SISTEM PAKAR DIAGNOSA PENYAKIT KUCING DENGAN NAÃƒÆ’Ã‚ï¿¾VE BAYES Hasil penelitian/pemikiran yang dipublikasikan dalam bentuk jurnal nasional	SK :- 01 Juli Tgl.SK: 2021	100%	01 Juli 2021 sampai 01 Juli 2024	Artikel Sistem Pakar Diagnosa Penyakit Kucing	Sesuai	Sesuai PO BKD Publikasi Ilmiah	Bukti Pendukung sesuai PO BKD 2021	
Ganjil 2022/2023	Penunjang	2	PENENTUAN POLA KALIMAT BAHASA INDONESIA PADA KALIMAT AKTIF DAN KALIMAT PASIF DENGAN MENGGUNAKAN METODE CONTEXT FREE GRAMMER (CFG) Hasil penelitian/pemikiran yang dipublikasikan dalam bentuk jurnal nasional	SK :- 01 Juli Tgl.SK: 2021	100%	01 Juli 2021 sampai 01 Juli 2024	Cover Curtina Vol 2 No 1 Juli 2021; Artikel Penentuan Pola Kalimat; Daftar Isi Vol 2 No 1 Juli 2021	Sesuai	Bukti Pendukung sesuai PO BKD 2021	Sesuai PO BKD Publikasi Ilmiah	
Ganjil 2022/2023	Penunjang	3	CLUSTERING DAERAH RAWAN BANJIR DI KABUPATEN TUBAN DENGAN K-MEANS DISERTAI VISUALISASI SISTEM INFORMASI GEOGRAFIS Hasil penelitian/pemikiran yang dipublikasikan dalam bentuk jurnal nasional	SK :- 31 Juli Tgl.SK: 2022	100%	31 Juli 2022 sampai 31 Juli 2025	Cover Jurnal; Surat Tugas Penelitian Alfian Nurlifa; Daftar Isi; Artikel Jurnal Curtina Juli 2022; Editorial	Sesuai	Bukti Pendukung sesuai PO BKD 2021	Sesuai PO BKD Publikasi Ilmiah	
Ganjil 2022/2023	Penunjang	4	KAJIAN PENERAPAN SISTEM INFORMASI E-SKRIPSI DI LINGKUNGAN FAKULTAS TEKNIK UNIVERSITAS PGRI RONGGOLAWE TUBAN Hasil penelitian atau hasil pemikiran yang Dipresentasikan secara oral dan dimuat dalam prosiding yang dipublikasikan (ber ISSN/ISBN): Nasional	SK :- 22 Tgl.SK:Agustus 2020	100%	22 Agustus 2020 sampai 22 Agustus 2023	Artikel SNasPPM 2020	Sesuai	Sesuai PO BKD Publikasi Ilmiah	Bukti Pendukung sesuai PO BKD 2021	
Ganjil 2022/2023	Penunjang	5	MONITORING ALIRAN INFUS PASIEN MACET DI RUANG PERAWAT MENGGUNAKAN NRF WIRELESS COMMUNICATION Hasil penelitian atau hasil pemikiran yang Dipresentasikan secara oral dan dimuat dalam prosiding yang dipublikasikan (ber ISSN/ISBN): Nasional	SK :- 08 Tgl.SK:Januari 2022	100%	08 Januari 2022 sampai 08 Januari 2025	Surat Tugas Penelitian; Sertifikat Pemakalah; S.T. Penelitian Amaludin; Papper Prosiding	Sesuai	Bukti Pendukung sesuai PO BKD 2021	Sesuai PO BKD Publikasi Ilmiah	
Ganjil 2022/2023	Penunjang	6	Evaluasi Sistem Informasi Pelayanan Administrasi Desa Menggunakan Pendekatan User Persona dan User Journey Map Hasil penelitian atau hasil pemikiran yang Dipresentasikan secara oral dan dimuat dalam prosiding yang dipublikasikan (ber ISSN/ISBN): Nasional	SK :- 16 Tgl.SK:Januari 2023	100%	16 Januari 2023 sampai 16 Januari 2026	Junral Penelitian; Surat Tugas Penelitian Alfian Nurlifa; Daftar Isi; Artikel Ilmiah Prosiding	Sesuai	Sesuai PO BKD Publikasi Ilmiah	Bukti Pendukung sesuai PO BKD 2021	
Ganjil 2022/2023	Penunjang	1	Pelaksanaan Pendidikan	Tidak boleh kosong	10.5	10.5	M				
Ganjil 2022/2023	Penunjang	3	Pelaksanaan Pengabdian	Tidak boleh kosong	2.96	1.125	M				
Genap 2022/2023	Pendidikan	1	Mengajar Matakuliah ANALISA DATA MULTIVARIAT/Kelas 2020B (3 sks)	SK :- Tgl.SK:-	3	Surat Tugas; Nilai	Selesai	100%	3	Bukti kinerja sesuaikan dengan Nama Pak andi sendiri, jangan bersama sama semua dosen Tif	Sesuai PO BKD (yang di unggah hanya Mk tertulis, lengkapi dengan daftar hadir dan jurnal)
Genap 2022/2023	Pendidikan	2	Mengajar Matakuliah BIG DATA/Kelas 2020B (3 sks)	SK :- Tgl.SK:-	3	Nilai; Surat Tugas	Selesai	100%	3	Bukti kinerja sesuaikan dengan Nama Pak andi sendiri, jangan bersama sama semua dosen Tif	Sesuai PO BKD (yang di unggah hanya Mk tertulis, lengkapi dengan daftar hadir dan jurnal)
Genap 2022/2023	Pendidikan	3	Mengajar Matakuliah BIG DATA/Kelas 2020A (3 sks)	SK :- Tgl.SK:-	3	Nilai; Surat Tugas	Selesai	100%	3	Bukti kinerja sesuaikan dengan Nama Pak andi sendiri, jangan bersama sama semua dosen Tif	Sesuai PO BKD (yang di unggah hanya Mk tertulis, lengkapi dengan daftar hadir dan jurnal)
Genap 2022/2023	Pendidikan	4	Mengajar Matakuliah ANALISA DATA MULTIVARIAT/Kelas 2020A (3 sks)	SK :- Tgl.SK:-	3	Nilai; Surat Tugas	Selesai	100%	3	Mengajar ada syarat kepatutan yaitu 12 sks, lainnya silahkan dimasukkan beban lebih	Sesuai PO BKD (yang di unggah hanya Mk tertulis, lengkapi dengan daftar hadir dan jurnal)
Genap 2022/2023	Pendidikan	5	Mengajar Matakuliah TEKNOLOGI WIRELESS/Kelas 2020A (3 sks)	SK :- Tgl.SK:-	3	Nilai; Surat Tugas	Selesai	100%	3	Mengajar ada syarat kepatutan yaitu 12 sks, lainnya silahkan dimasukkan beban lebih	Sesuai PO BKD (yang di unggah hanya Mk tertulis, lengkapi dengan daftar hadir dan jurnal)
Genap 2022/2023	Penelitian	1	SISTEM INFORMASI MANAGEMENT PEMBANGUNAN PABRIK PT. SEMEN GRESIK	Nama :Curtina Jurnal Tgl. :- Terbit	2.5	Jurnal Nasional	Selesai	100%	0.25	Bukti kenirja hanya berupa sampul, harap dibenahi. Pengusul bukan penulis tunggal tetapi sebagai penulis ke 4 dari 5 penulis, dan bukan sbg coresponden author (10%x2,5=0,25	Sesuai PO BKD
Genap 2022/2023	Pengabdian	1	PENGGUNAAN SAFETY DIGITAL DI ERA MILENIAL di Desa Weden Kecamatan Bangilan Kabupaten Tuban	SK :No. 097a/VII/071073/LPM/VII/2023 Tgl.SK:26 Juli 2023	2	ST pengabdian Fitroh; Surat Tugas Ulfa; ST Aris Wijayanti; PENGGUNAAN SAFETY DIGITAL DI ERA MILENIAL; ST- Pengabdian Masyarakat Amaludin; ST Pengabdian Asfan	Selesai	100%	1.1875	Sesuai PO BKD 2021	Melayani masyarakat sesuai bidang ilmunya
Genap 2022/2023	Pengabdian	2	PELATIHAN MARKETING DAN DIGITAL UNTUK PENINGKATAN USAHA RUMAH TANGGA ERA REVOLUSI INDUSTRI 4.0 DI KECAMATAN SEMANDING di Semanding, Tuban, Jawa Timur	SK :018/VII/071073/PGRI/LPM/III/2023 Tgl.SK:15 Maret 2023	0.375	Surat Tugas PkM Digital Marketing; Laporan Pengabdian Masyarakat Digital Marketing	Selesai	100%	0.375	Sesuai PO BKD 2021	Sesuai PO BKD
Genap 2022/2023	Pengabdian	3	SISTEM PENERANGAN TENAGA SURYA UNTUK AREA PERSAWAHAN DESA MADURAN KABUPATEN LAMONGAN	SK :- Tgl.SK:-	2.5	Artikel Pengabdian Kepada Masyarakat; ST KEGIATAN MENGHASILKAN KARYA ILMIAH DAN PUBLIKASI ; Jurnal SISTEM PENERANGAN TENAGA SURYA UNTUK AREA PERSAWAHAN ; Cover, editorial, daftar isi Artikel PKM	Selesai	100%	2.5	Sesuai PO BKD 2021	-
Genap 2022/2023	Penunjang	1	Panitia Ujian Akhir Semester Gasal di Universitas PGRI Ronggolawe	0062/071073/PGRI/AK/I/2023- SK : SK Tgl.SK:07 Januari 2023	0.5	ST Dekan Amaludin; Surat Tugas Penunjang Fitroh; Surat Tugas Asfan; Surat Tugas Penunjang Alfian Nurlifa; SK UAS Gasal 2023	Berlanjut	100%	0.375	Kepanitian tingat Fakultas sebagai anggota	Sesuai PO BKD
Genap 2022/2023	Penunjang	2	Panitia Ujian Akhir Semester Genap di Universitas PGRI Ronggolawe	1412/071073/PGRI/AK/VII/2023- SK : SK Tgl.SK:24 Juni 2023	0.5	Sk rektor	Berlanjut	100%	0.37625	Kepanitian tingat Fakultas sebagai anggota	Sesuai PO BKD
Genap 2022/2023	Penunjang	3	Senat Perguruan Tinggi di Universitas PGRI Ronggolawe	727/071073/PGRI/KP/VI/2020- SK : SK Tgl.SK:02 Desember 2019	0.75	SK Senat	Berlanjut	100%	0.625	Sebagai ANggota tingkat universitas	Sesuai PO bKD
Genap 2022/2023	Penunjang	1	CLUSTERING DAERAH RAWAN BANJIR DI KABUPATEN TUBAN DENGAN K-MEANS DISERTAI VISUALISASI SISTEM INFORMASI GEOGRAFIS Hasil penelitian/pemikiran yang dipublikasikan dalam bentuk jurnal nasional	SK :- 31 Juli Tgl.SK: 2022	100%	31 Juli 2022 sampai 31 Juli 2025	Cover Jurnal; Surat Tugas Penelitian Alfian Nurlifa; Daftar Isi; Artikel Jurnal Curtina Juli 2022; Editorial	Sesuai	Dinilai SESUAI semester lalu oleh Asesor	Dinilai SESUAI semester lalu oleh Asesor	
Genap 2022/2023	Penunjang	2	PENENTUAN POLA KALIMAT BAHASA INDONESIA PADA KALIMAT AKTIF DAN KALIMAT PASIF DENGAN MENGGUNAKAN METODE CONTEXT FREE GRAMMER (CFG) Hasil penelitian/pemikiran yang dipublikasikan dalam bentuk jurnal nasional	SK :- 01 Juli Tgl.SK: 2021	100%	01 Juli 2021 sampai 01 Juli 2024	Cover Curtina Vol 2 No 1 Juli 2021; Artikel Penentuan Pola Kalimat; Daftar Isi Vol 2 No 1 Juli 2021	Sesuai	Dinilai SESUAI semester lalu oleh Asesor	Dinilai SESUAI semester lalu oleh Asesor	
Genap 2022/2023	Penunjang	3	SISTEM PAKAR DIAGNOSA PENYAKIT KUCING DENGAN NAÃƒÂVE BAYES Hasil penelitian/pemikiran yang dipublikasikan dalam bentuk jurnal nasional	SK :- 01 Juli Tgl.SK: 2021	100%	01 Juli 2021 sampai 01 Juli 2024	Artikel Sistem Pakar Diagnosa Penyakit Kucing	Sesuai	Dinilai SESUAI semester lalu oleh Asesor	Dinilai SESUAI semester lalu oleh Asesor	
Genap 2022/2023	Penunjang	4	PEMANFAATAN SENSOR WARNA SEBAGAI ALAT PENDETEKSI KESEGARAN BUAH DENGAN NOTIF MONITORING LED Hasil penelitian atau hasil pemikiran yang Dipresentasikan secara oral dan dimuat dalam prosiding yang dipublikasikan (ber ISSN/ISBN): Nasional	SK :- 03 Tgl.SK:November 2022	100%	03 November 2022 sampai 03 November 2025	Cover-Editorial team-Daftar Isi; Artikel prosiding Publikasi	Sesuai	Sesuai PO BKD publikasi artikel ilmiah	Bukti kinerja sesuai	
Genap 2022/2023	Penunjang	5	Evaluasi Sistem Informasi Pelayanan Administrasi Desa Menggunakan Pendekatan User Persona dan User Journey Map Hasil penelitian atau hasil pemikiran yang Dipresentasikan secara oral dan dimuat dalam prosiding yang dipublikasikan (ber ISSN/ISBN): Nasional	SK :- 16 Januari Tgl.SK: 2023	100%	16 Januari 2023 sampai 16 Januari 2026	Junral Penelitian; Surat Tugas Penelitian Alfian Nurlifa; Daftar Isi; Artikel Ilmiah Prosiding	Sesuai	Dinilai SESUAI semester lalu oleh Asesor	Dinilai SESUAI semester lalu oleh Asesor	
Genap 2022/2023	Penunjang	6	MONITORING ALIRAN INFUS PASIEN MACET DI RUANG PERAWAT MENGGUNAKAN NRF WIRELESS COMMUNICATION Hasil penelitian atau hasil pemikiran yang Dipresentasikan secara oral dan dimuat dalam prosiding yang dipublikasikan (ber ISSN/ISBN): Nasional	SK :- 08 Januari Tgl.SK: 2022	100%	08 Januari 2022 sampai 08 Januari 2025	Surat Tugas Penelitian; Sertifikat Pemakalah; S.T. Penelitian Amaludin; Papper Prosiding	Sesuai	Dinilai SESUAI semester lalu oleh Asesor	Dinilai SESUAI semester lalu oleh Asesor	
Genap 2022/2023	Penunjang	1	Pelaksanaan Pendidikan	Tidak boleh kosong	9	6	M				
Genap 2022/2023	Penunjang	3	Pelaksanaan Pengabdian	Tidak boleh kosong	4.0625	0	M				
Ganjil 2023/2024	Pendidikan	1	Mengajar Matakuliah SISTEM INFORMASI BISNIS/Kelas 2020C (3 sks)	SK :- Tgl.SK:-	3	Surat Tugas; Nilai Akhir	Selesai	100%	3	Sesuai PO BKD 2021, Bukti kinerja sesuai	Sesuai dengan PO BKD 2021
Ganjil 2023/2024	Pendidikan	2	Mengajar Matakuliah SISTEM INFORMASI BISNIS/Kelas 2020B (3 sks)	SK :- Tgl.SK:-	3	Surat Tugas; Nilai Akhir	Selesai	100%	3	Sesuai PO BKD 2021, Bukti kinerja sesuai	Sesuai dengan PO BKD 2021
Ganjil 2023/2024	Pendidikan	3	Mengajar Matakuliah SISTEM INFORMASI BISNIS/Kelas 2020A (3 sks)	SK :- Tgl.SK:-	3	Nilai Akhir; Surat Tugas	Selesai	100%	3	Sesuai PO BKD 2021, Bukti kinerja sesuai	Sesuai dengan PO BKD 2021
Ganjil 2023/2024	Penelitian	1	PERANCANGAN UI/UX APLIKASI FISHLINE MENGGUNAKAN METODE DESIGN THINKING	JATI : Jurnal Nama Mahasiswa : Jurnal Teknik Informatika Tgl. 05 Februari : Terbit 2024	1.25	Surat Tugas Penelitian Alfian Nurlifa; Artikel Ilmiah; Cover Jurnal	Selesai	20%	0.875	Termasuk dalam Jurnal nasional , Sebagai penulis 3 dengan dua anggota , ((40%:2)x 2,5 = 0,5)	Sesuai dengan PO BKD 2021
Ganjil 2023/2024	Pengabdian	1	Pelatihan Desain E-Modul Media Pembelajaran di Tuban	SK :035b/VII/071073/PGRI/LPM/IX/2023 Tgl.SK:19 Oktober 2023	0.375	Laporan PkM Pelatihan E- Modul Media Pembelajaran; Surat Tugas Pengmas Alfian; ST Pengabdian Kepada Masyarakat MIftachul Munir; ST Pengabdian Masyarakat Amaludin Arifia	Selesai	100%	0.3125	Masuk memberikan penyuluhan insidental tingkat lokal	Sesuai dengan PO BKD 2021
Ganjil 2023/2024	Pengabdian	2	PELATIHAN MARKETING DAN DIGITAL UNTUK PENINGKATAN USAHA RUMAH TANGGA ERA REVOLUSI INDUSTRI 4.0 DI KECAMATAN SEMANDING di Semanding, Tuban, Jawa Timur	SK :018/VII/071073/PGRI/LPM/III/2023 Tgl.SK:15 Maret 2023	2.5	Surat Tugas Pengabdian Alfian Nurlifa; Artikel Pengmas	Selesai	100%	2.5	-	Sesuai dengan PO BKD 2021
Ganjil 2023/2024	Penunjang	1	Panitia Ujian Akhir Semester Gasal di Universitas PGRI Ronggolawe	0062/071073/PGRI/AK/I/2023- SK : SK Tgl.SK:07 Januari 2023	0.5	ST Dekan Amaludin; Surat Tugas Penunjang Fitroh; Surat Tugas Asfan; Surat Tugas Penunjang Alfian Nurlifa; SK UAS Gasal 2023	Selesai	100%	0.375	Tingkat Fakultas	Sesuai dengan PO BKD 2021
Ganjil 2023/2024	Penunjang	2	Panitia Ujian Akhir Semester Genap di Universitas PGRI Ronggolawe	1412/071073/PGRI/AK/VII/2023- SK : SK Tgl.SK:24 Juni 2023	0.5	Sk rektor	Selesai	100%	0.375	Tingkat Fakultas	Sesuai dengan PO BKD 2021
Ganjil 2023/2024	Penunjang	1	PERANCANGAN UI/UX APLIKASI FISHLINE MENGGUNAKAN METODE DESIGN THINKING Hasil penelitian/pemikiran yang dipublikasikan dalam bentuk jurnal nasional terakreditasi Kemenristekdikti	SK :- 05 Tgl.SK:Februari 2024	100%	05 Februari 2024 sampai 05 Februari 2027	Surat Tugas Penelitian Alfian Nurlifa; Artikel Ilmiah; Cover Jurnal	Sesuai	sesuai dengan syarat kewajiban khusus	Sesuai dengan PO BKD 2021	
Ganjil 2023/2024	Penunjang	2	CLUSTERING DAERAH RAWAN BANJIR DI KABUPATEN TUBAN DENGAN K-MEANS DISERTAI VISUALISASI SISTEM INFORMASI GEOGRAFIS Hasil penelitian/pemikiran yang dipublikasikan dalam bentuk jurnal nasional	SK :- 31 Juli Tgl.SK: 2022	100%	31 Juli 2022 sampai 31 Juli 2025	Cover Jurnal; Surat Tugas Penelitian Alfian Nurlifa; Daftar Isi; Artikel Jurnal Curtina Juli 2022; Editorial	Sesuai	Dinilai SESUAI semester lalu oleh Asesor	Dinilai SESUAI semester lalu oleh Asesor	
Ganjil 2023/2024	Penunjang	3	SISTEM PAKAR DIAGNOSA PENYAKIT KUCING DENGAN NAÃƒÂVE BAYES Hasil penelitian/pemikiran yang dipublikasikan dalam bentuk jurnal nasional	SK :- 01 Juli Tgl.SK: 2021	100%	01 Juli 2021 sampai 01 Juli 2024	Artikel Sistem Pakar Diagnosa Penyakit Kucing	Sesuai	Dinilai SESUAI semester lalu oleh Asesor	Dinilai SESUAI semester lalu oleh Asesor	
Ganjil 2023/2024	Penunjang	4	PENENTUAN POLA KALIMAT BAHASA INDONESIA PADA KALIMAT AKTIF DAN KALIMAT PASIF DENGAN MENGGUNAKAN METODE CONTEXT FREE GRAMMER (CFG) Hasil penelitian/pemikiran yang dipublikasikan dalam bentuk jurnal nasional	SK :- 01 Juli Tgl.SK: 2021	100%	01 Juli 2021 sampai 01 Juli 2024	Cover Curtina Vol 2 No 1 Juli 2021; Artikel Penentuan Pola Kalimat; Daftar Isi Vol 2 No 1 Juli 2021	Sesuai	Dinilai SESUAI semester lalu oleh Asesor	Dinilai SESUAI semester lalu oleh Asesor	
Ganjil 2023/2024	Penunjang	5	SISTEM INFORMASI MANAGEMENT PEMBANGUNAN PABRIK PT. SEMEN GRESIK Hasil penelitian/pemikiran yang dipublikasikan dalam bentuk jurnal nasional	SK :- 31 Juli Tgl.SK: 2023	100%	31 Juli 2023 sampai 31 Juli 2026	Jurnal Nasional	Tidak Sesuai	sesuai dengan syarat kewajiban khusus	Tidak sesuai dengan PO BKD 2021, artikel tidak ada hanya cover	
Ganjil 2023/2024	Penunjang	6	MONITORING ALIRAN INFUS PASIEN MACET DI RUANG PERAWAT MENGGUNAKAN NRF WIRELESS COMMUNICATION Hasil penelitian atau hasil pemikiran yang Dipresentasikan secara oral dan dimuat dalam prosiding yang dipublikasikan (ber ISSN/ISBN): Nasional	SK :- 08 Januari Tgl.SK: 2022	100%	08 Januari 2022 sampai 08 Januari 2025	Surat Tugas Penelitian; Sertifikat Pemakalah; S.T. Penelitian Amaludin; Papper Prosiding	Sesuai	Dinilai SESUAI semester lalu oleh Asesor	Dinilai SESUAI semester lalu oleh Asesor	
Ganjil 2023/2024	Penunjang	7	PEMANFAATAN SENSOR WARNA SEBAGAI ALAT	SK :-	100%	03 November	Cover-Editorial team-Daftar Isi;	Sesuai	Dinilai SESUAI	Dinilai SESUAI	
Ganjil 2023/2024	Penunjang	8	Evaluasi Sistem Informasi Pelayanan Administrasi Desa Menggunakan Pendekatan User Persona dan User Journey Map Hasil penelitian atau hasil pemikiran yang Dipresentasikan secara oral dan dimuat dalam prosiding yang dipublikasikan (ber ISSN/ISBN): Nasional	SK :- 16 Januari Tgl.SK: 2023	100%	16 Januari 2023 sampai 16 Januari 2026	Junral Penelitian; Surat Tugas Penelitian Alfian Nurlifa; Daftar Isi; Artikel Ilmiah Prosiding	Sesuai	Dinilai SESUAI semester lalu oleh Asesor	Dinilai SESUAI semester lalu oleh Asesor	
Ganjil 2023/2024	Penunjang	1	Pelaksanaan Pendidikan	Tidak boleh kosong	9	0	M				
Ganjil 2023/2024	Penunjang	3	Pelaksanaan Pengabdian	Tidak boleh kosong	2.8125	0	M				
Genap 2023/2024	Pendidikan	1	Mengajar Matakuliah BIOINFORMATIKA/Kelas 2021 (3 sks)	SK :- Tgl.SK:-	3	Surat Tugas; Nilai MK Bioinformatika	Selesai	100%	3	Sesuai dengan PO BKD 2021, bukti kinerja lainnya spt preseensi dosen , mhs, jurnal perlu dilengkapi	Sesuai PO BKD 2021, Bukti kinerja sesuai
Genap 2023/2024	Pendidikan	2	Mengajar Matakuliah PROGRAM KOMPUTER/Kelas 2023B (3 sks)	SK :- Tgl.SK:-	3	Surat Tugas; Nilai Pemrograman Komputer 2023 B	Selesai	100%	3	Sesuai dengan PO BKD 2021, bukti kinerja lainnya spt preseensi dosen , mhs, jurnal perlu dilengkapi	Sesuai PO BKD 2021, Bukti kinerja sesuai
Genap 2023/2024	Pendidikan	3	Mengajar Matakuliah PROGRAM KOMPUTER/Kelas 2023C (3 sks)	SK :- Tgl.SK:-	3	Nilai Pemrograman Komputer 2023 C; Surat Tugas	Selesai	100%	3	Sesuai dengan PO BKD 2021, bukti kinerja lainnya spt preseensi dosen , mhs, jurnal perlu dilengkapi	Sesuai PO BKD 2021, Bukti kinerja sesuai
